name,released,rating,ratings_count,reviews_count,background_image,platform_count,genre_name,esrb_rating_name
S.T.A.L.K.E.R. 2: Heart of Chornobyl,2024-11-20,3.77,292,302,https://media.rawg.io/media/games/3e8/3e81585ecda204d4f4b80a041b069adb.jpg,2,Shooter,
Hollow Knight: Silksong,2025-09-04,4.24,154,167,https://media.rawg.io/media/games/27c/27cd8b7dead05a870f8a514a9a1915ad.jpg,6,Indie,
Marvel Rivals,2024-12-06,3.71,105,108,https://media.rawg.io/media/screenshots/3f0/3f0fdfc7c71655366aa83ab80ecab9b8.jpg,3,Action,Teen
Clair Obscur: Expedition 33,2025-04-24,4.55,268,285,https://media.rawg.io/media/games/466/4667f17fdee9ebbcea2049e54f8e2b96.jpg,3,RPG,
Symphonia,2024-12-05,1.78,18,18,https://media.rawg.io/media/screenshots/e79/e798477413a08e16369dc064dc55524b.jpg,2,Indie,
Silent Hill 2,2024-10-08,4.49,190,196,https://media.rawg.io/media/games/09b/09b41c1a2c5761c5b1772a4ae238bb0e.jpg,2,Adventure,
Hades II,2025-09-25,4.44,73,73,https://media.rawg.io/media/games/8fd/8fd2e8317849fd265ad8781c324d4ec2.jpg,2,Indie,
Indiana Jones and the Great Circle,2024-12-09,4.36,136,141,https://media.rawg.io/media/games/824/824c0f8d6a591ef5828d7546664fc87c.jpg,3,Shooter,Rating Pending
Split Fiction,2025-03-06,4.45,159,165,https://media.rawg.io/media/games/02a/02ac22b3b90717dabaa535640c38534c.jpg,3,Adventure,
Kingdom Come: Deliverance II,2025-02-03,4.36,102,107,https://media.rawg.io/media/games/d84/d842fec4ae7bbd782d330f678c980f7f.jpg,3,Adventure,Adults Only
Avowed,2025-02-18,3.3,100,105,https://media.rawg.io/media/games/3d3/3d33abf32d9fb92b9f242917abe276ba.jpg,2,RPG,Rating Pending
Path of Exile 2,2024-12-06,3.24,48,49,https://media.rawg.io/media/games/401/4010e56adceb7db58ba42d1189796d5e.jpg,1,Massively Multiplayer,
Metaphor: ReFantazio,2024-10-11,4.31,56,59,https://media.rawg.io/media/games/2cd/2cd2467a32aaaed0bdeb192c2831cfe0.jpg,3,Adventure,
Doom: The Dark Ages,2025-05-15,4.36,56,59,https://media.rawg.io/media/games/018/01897340a06b9ed8e92ed1cc1b1eecb9.jpg,3,Action,Mature
Slime Rancher 2,2025-09-23,3.91,27,32,https://media.rawg.io/media/games/d37/d3764044c9ecac93d4bafeb616186604.jpg,2,Adventure,
Mafia: The Old Country,2025-08-08,3.82,38,39,https://media.rawg.io/media/games/e0f/e0fc6554b6c0b5cd95037858898a1cc8.jpg,3,Adventure,
The Alters,2025-06-13,4.32,55,63,https://media.rawg.io/media/games/5f8/5f8b6e0bfdf4efd5e2b9231df8721de0.jpg,3,Adventure,
